date,ticker,S_recency,S_breadth,S_volume,S_events,pos,neg,total,smart_score,S_breadth_raw,S_volume_raw
2025-09-06,IEX.NS,67.76005028581619,100.0,0.0,50.0,1,0,1,62.99,,
2025-09-06,INDUSINDBK.NS,47.54378978168965,50.0,0.0,35.0,0,0,1,40.14,,
2025-09-06,INFY.NS,81.27099066972731,100.0,0.0,50.0,1,0,1,69.07,,
2025-09-06,IOB.NS,44.78987574577332,0.0,0.0,15.000000000000002,0,1,1,23.91,,
2025-09-06,IRFC.NS,81.04442089796066,100.0,0.0,50.0,1,0,1,68.97,,
2025-09-06,ITBEES.NS,23.0093558216095,0.0,18.946381893433973,50.0,0,2,2,24.75,,
2025-09-06,ITC.NS,80.50906161436846,100.0,70.28181756395006,53.75,8,0,8,76.69,,
2025-09-06,JIOFIN.NS,53.14151682043076,75.0,18.946381893433973,37.5,1,0,2,50.18,,
2025-09-06,NBCC.NS,83.02765199789457,100.0,32.389053777082125,50.0,3,0,3,73.1,,
2025-09-06,NESTLEIND.NS,58.48789099324001,66.66666666666666,32.389053777082125,60.0,2,1,3,57.89,,
2025-09-06,NHPC.NS,77.32665097014248,85.71428571428572,64.77810755416424,50.0,6,1,7,70.92,,
2025-09-06,NIFTYBEES.NS,51.91209135150909,50.0,0.0,50.0,0,0,1,45.86,,
2025-09-06,NMDC.NS,63.60747868788488,33.333333333333336,58.53851576479781,55.833333333333336,2,4,6,55.1,,
2025-09-06,ONGC.NS,71.71862016670521,87.5,42.81600015474249,63.74999999999999,3,0,4,69.99,,
2025-09-06,PNB.NS,71.63497406125398,100.0,18.946381893433973,65.0,2,0,2,70.38,,
2025-09-06,RELIANCE.NS,70.14573837901104,83.33333333333333,75.20505393182462,50.0,7,1,9,68.25,,
2025-09-06,SAIL.NS,30.74334533656006,50.0,18.946381893433973,50.0,1,1,2,38.23,,
2025-09-06,SILVERBEES.NS,84.21820561027526,100.0,0.0,50.0,1,0,1,70.4,,
2025-09-06,SJVN.NS,38.71190855031713,62.5,42.81600015474249,50.0,2,1,4,46.7,,
2025-09-06,SPICEJET.NS,56.20295314059596,100.0,18.946381893433973,85.0,2,0,2,68.44,,
2025-09-06,SUNTV.NS,35.70971596647195,25.0,18.946381893433973,35.0,0,1,2,31.71,,
2025-09-06,TATASTEEL.NS,55.176305627305375,50.0,58.53851576479781,58.333333333333336,3,3,6,55.27,,
2025-09-06,UPL.NS,65.66900751855592,75.0,42.81600015474249,57.49999999999999,3,1,4,63.21,,
2025-09-06,VEDL.NS,63.15890905761719,66.66666666666666,32.389053777082125,50.0,2,1,3,57.49,,
2025-09-06,YESBANK.NS,51.54534700943232,33.333333333333336,75.20505393182462,66.66666666666666,3,6,9,54.05,,
2025-09-07,ADANIENSOL.NS,65.85570405338049,66.66666666666666,32.389053777082125,50.0,2,1,3,58.71,,
